provider,date,service,region,usageType,cost,currency,accountId
aws,2026-01-01,DynamoDB,eu-west-1,WriteCapacityUnits,94.32,USD,987654321098
aws,2026-01-01,DynamoDB,eu-central-1,TimedStorage-ByteHrs,69.65,USD,456789012345
aws,2026-01-01,Lambda,ap-south-1,Lambda-GB-Second,50.93,USD,123456789012
aws,2026-01-01,ECS,us-west-2,Fargate-vCPU-Hours,36.33,USD,456789012345
aws,2026-01-01,Lambda,ap-southeast-1,Lambda-GB-Second,71.3,USD,123456789012
aws,2026-01-01,EC2,us-east-1,BoxUsage:c5.xlarge,309.29,USD,123456789012
aws,2026-01-01,Redshift,ap-southeast-1,NodeUsage:dc2.large,883.4,USD,123456789012
aws,2026-01-01,ElastiCache,ap-south-1,NodeUsage:cache.t3.medium,631.99,USD,456789012345
aws,2026-01-01,EC2,ap-southeast-1,BoxUsage:m5.2xlarge,166.82,USD,456789012345
aws,2026-01-01,CloudFront,eu-central-1,Requests-HTTPS-Proxy,39.05,USD,987654321098
aws,2026-01-02,CloudFront,eu-west-1,Requests-HTTP-Proxy,64.66,USD,987654321098
aws,2026-01-02,DynamoDB,ap-southeast-1,WriteCapacityUnits,90.49,USD,987654321098
aws,2026-01-02,ElastiCache,eu-west-1,NodeUsage:cache.r5.large,376.7,USD,123456789012
aws,2026-01-02,Redshift,ap-south-1,NodeUsage:dc2.large,35.25,USD,456789012345
aws,2026-01-02,ECS,us-east-1,Fargate-vCPU-Hours,78.75,USD,123456789012
aws,2026-01-02,RDS,ap-southeast-1,InstanceUsage:db.r5.xlarge,99.25,USD,123456789012
aws,2026-01-02,Redshift,us-east-1,NodeUsage:dc2.large,769.33,USD,123456789012
aws,2026-01-02,ECS,ap-south-1,Fargate-GB-Hours,56.87,USD,987654321098
aws,2026-01-02,S3,eu-central-1,Requests-Tier2,56.56,USD,123456789012
aws,2026-01-03,ElastiCache,us-west-2,NodeUsage:cache.r5.large,626.67,USD,987654321098
aws,2026-01-03,S3,ap-southeast-1,Requests-Tier2,62.14,USD,456789012345
aws,2026-01-03,EC2,us-east-1,BoxUsage:t3.large,68.02,USD,987654321098
aws,2026-01-03,S3,ap-southeast-1,DataTransfer-Out-Bytes,64.65,USD,987654321098
aws,2026-01-03,EKS,ap-south-1,EKS-Cluster-Hours,363.28,USD,123456789012
aws,2026-01-03,CloudFront,eu-west-1,Requests-HTTP-Proxy,23.51,USD,456789012345
aws,2026-01-04,RDS,us-east-1,RDS:ChargedBackupUsage,1377.96,USD,123456789012
aws,2026-01-04,DynamoDB,ap-southeast-1,IndexWriteCapacityUnits,37.99,USD,456789012345
aws,2026-01-04,S3,eu-central-1,TimedStorage-ByteHrs,98.52,USD,987654321098
aws,2026-01-04,ECS,us-west-2,Fargate-GB-Hours,8.06,USD,123456789012
aws,2026-01-05,S3,eu-west-1,TimedStorage-ByteHrs,89.04,USD,123456789012
aws,2026-01-05,ECS,ap-south-1,Fargate-vCPU-Hours,20.56,USD,987654321098
aws,2026-01-05,CloudFront,eu-central-1,Requests-HTTP-Proxy,75.08,USD,987654321098
aws,2026-01-05,CloudFront,eu-west-1,Requests-HTTP-Proxy,19.16,USD,456789012345
aws,2026-01-05,ECS,us-east-1,Fargate-vCPU-Hours,98.49,USD,987654321098
aws,2026-01-06,Lambda,us-east-1,Lambda-GB-Second,71.14,USD,456789012345
aws,2026-01-06,DynamoDB,us-west-2,ReadCapacityUnits,104.63,USD,123456789012
aws,2026-01-06,EC2,us-east-1,IPAddress:EIP,71.16,USD,987654321098
aws,2026-01-07,RDS,eu-central-1,RDS:ChargedBackupUsage,1260.26,USD,123456789012
aws,2026-01-07,S3,us-east-1,Requests-Tier2,70.72,USD,123456789012
aws,2026-01-07,ElastiCache,eu-west-1,NodeUsage:cache.t3.medium,265.97,USD,987654321098
aws,2026-01-07,Redshift,ap-south-1,Storage-ByteHrs,833.04,USD,456789012345
aws,2026-01-07,S3,ap-southeast-1,Requests-Tier1,10.96,USD,987654321098
aws,2026-01-07,ElastiCache,ap-southeast-1,NodeUsage:cache.r5.large,266.46,USD,456789012345
aws,2026-01-07,S3,us-west-2,TimedStorage-ByteHrs,34.17,USD,987654321098
aws,2026-01-08,RDS,us-west-2,InstanceUsage:db.t3.medium,882.88,USD,456789012345
aws,2026-01-08,Redshift,us-west-2,NodeUsage:dc2.large,809.95,USD,987654321098
aws,2026-01-08,EC2,ap-southeast-1,DataTransfer-Out-Bytes,447.53,USD,987654321098
aws,2026-01-08,CloudFront,ap-south-1,Requests-HTTPS-Proxy,67.64,USD,123456789012
aws,2026-01-08,Redshift,us-east-1,NodeUsage:dc2.large,522.15,USD,987654321098
aws,2026-01-08,EKS,ap-south-1,Fargate-vCPU-Hours,1210.93,USD,123456789012
aws,2026-01-08,CloudFront,us-west-2,Requests-HTTPS-Proxy,36.77,USD,123456789012
aws,2026-01-08,S3,eu-west-1,DataTransfer-Out-Bytes,17.81,USD,456789012345
aws,2026-01-09,ECS,ap-south-1,Fargate-vCPU-Hours,24.85,USD,123456789012
aws,2026-01-10,S3,ap-southeast-1,Requests-Tier1,119.66,USD,123456789012
aws,2026-01-10,EKS,ap-south-1,EKS-Cluster-Hours,1153.29,USD,123456789012
aws,2026-01-10,CloudFront,us-west-2,Requests-HTTPS-Proxy,117.08,USD,123456789012
aws,2026-01-10,Redshift,ap-southeast-1,NodeUsage:dc2.large,1338.67,USD,123456789012
aws,2026-01-10,EC2,us-west-2,IPAddress:EIP,559.93,USD,456789012345
aws,2026-01-10,DynamoDB,us-west-2,WriteCapacityUnits,55.65,USD,456789012345
aws,2026-01-11,Lambda,eu-central-1,RequestCount,62.96,USD,987654321098
aws,2026-01-11,ElastiCache,ap-south-1,NodeUsage:cache.r5.large,71.06,USD,987654321098
aws,2026-01-11,Lambda,eu-west-1,Lambda-GB-Second,85.38,USD,123456789012
aws,2026-01-11,EC2,ap-south-1,IPAddress:EIP,351.46,USD,987654321098
aws,2026-01-11,CloudFront,us-east-1,Requests-HTTPS-Proxy,76.08,USD,456789012345
aws,2026-01-11,RDS,eu-west-1,InstanceUsage:db.r5.xlarge,1393.84,USD,123456789012
aws,2026-01-11,CloudFront,ap-south-1,Requests-HTTPS-Proxy,39.32,USD,123456789012
aws,2026-01-11,S3,us-east-1,DataTransfer-Out-Bytes,2.02,USD,123456789012
aws,2026-01-11,ElastiCache,eu-central-1,NodeUsage:cache.r5.large,347.57,USD,987654321098
aws,2026-01-11,S3,eu-central-1,TimedStorage-ByteHrs,3.12,USD,987654321098
aws,2026-01-11,Lambda,us-east-1,Lambda-GB-Second,61.69,USD,456789012345
aws,2026-01-11,Redshift,ap-southeast-1,NodeUsage:dc2.large,1350.51,USD,456789012345
aws,2026-01-12,Lambda,ap-south-1,RequestCount,107.49,USD,456789012345
aws,2026-01-12,DynamoDB,ap-southeast-1,IndexWriteCapacityUnits,27.27,USD,987654321098
aws,2026-01-12,DynamoDB,eu-west-1,IndexWriteCapacityUnits,62.51,USD,456789012345
aws,2026-01-12,S3,eu-west-1,Requests-Tier1,104.28,USD,123456789012
aws,2026-01-12,Redshift,us-east-1,Storage-ByteHrs,1292.09,USD,987654321098
aws,2026-01-12,EC2,eu-central-1,BoxUsage:m5.2xlarge,140.19,USD,987654321098
aws,2026-01-12,Lambda,us-east-1,RequestCount,63.96,USD,987654321098
aws,2026-01-12,EC2,us-west-2,BoxUsage:m5.2xlarge,286.12,USD,456789012345
aws,2026-01-13,EC2,eu-west-1,DataTransfer-Out-Bytes,574.11,USD,456789012345
