provider,date,service,region,usageType,cost,currency,accountId
aws,2026-02-01,Redshift,us-east-1,NodeUsage:ra3.xlplus,1353.15,USD,554433221100
aws,2026-02-01,S3,us-east-1,Requests-Tier1,0.46,USD,887766554433
aws,2026-02-01,OpenSearch,eu-central-1,DomainUsage:or1.medium,236.02,USD,998877665544
aws,2026-02-01,S3,eu-west-1,DeepArchiveStorage,55.04,USD,554433221100
aws,2026-02-01,EKS,eu-west-1,EKS-Cluster-Hours,256.12,USD,998877665544
aws,2026-02-01,S3,us-west-2,DeepArchiveStorage,64.88,USD,887766554433
aws,2026-02-01,EKS,eu-west-1,Fargate-vCPU-Hours,766.9,USD,887766554433
aws,2026-02-01,S3,eu-west-1,TimedStorage-ByteHrs,138.36,USD,887766554433
aws,2026-02-01,ECS,us-east-1,Fargate-vCPU-Hours,56.28,USD,998877665544
aws,2026-02-01,EKS,eu-central-1,EKS-Cluster-Hours,516.7,USD,554433221100
aws,2026-02-02,EC2,us-east-1,BoxUsage:r6g.xlarge,659.44,USD,998877665544
aws,2026-02-02,Lambda,us-west-2,Lambda-GB-Second,105.3,USD,554433221100
aws,2026-02-02,S3,eu-west-1,Requests-Tier1,11.55,USD,554433221100
aws,2026-02-02,ElastiCache,ap-south-1,NodeUsage:cache.r6g.large,775.77,USD,554433221100
aws,2026-02-02,Kinesis,us-west-2,PUT-Payload-Units,110.48,USD,887766554433
aws,2026-02-02,DynamoDB,ap-southeast-1,TimedStorage-ByteHrs,86.7,USD,887766554433
aws,2026-02-02,Lambda,us-east-1,ProvisionedConcurrency,89.41,USD,554433221100
aws,2026-02-02,ECS,eu-west-1,Fargate-vCPU-Hours,31.67,USD,887766554433
aws,2026-02-02,S3,us-east-1,TimedStorage-ByteHrs,55.99,USD,887766554433
aws,2026-02-02,S3,ap-southeast-1,DeepArchiveStorage,50.91,USD,887766554433
aws,2026-02-03,EC2,eu-west-1,BoxUsage:c6i.2xlarge,361.72,USD,998877665544
aws,2026-02-03,RDS,us-east-1,RDS:PIOPS-Storage,309.73,USD,554433221100
aws,2026-02-03,Redshift,us-east-1,Storage-ByteHrs,753.11,USD,887766554433
aws,2026-02-03,DynamoDB,us-west-2,ReadCapacityUnits,40.74,USD,887766554433
aws,2026-02-03,EC2,eu-west-1,DataTransfer-Out-Bytes,751.16,USD,887766554433
aws,2026-02-03,OpenSearch,us-west-2,Storage-GP3-ByteHrs,1418.22,USD,554433221100
aws,2026-02-03,Lambda,ap-south-1,RequestCount,69.46,USD,887766554433
aws,2026-02-03,Lambda,us-east-1,ProvisionedConcurrency,5.16,USD,887766554433
aws,2026-02-03,S3,ap-south-1,DataTransfer-Out-Bytes,53.04,USD,554433221100
aws,2026-02-03,CloudFront,us-east-1,Requests-HTTPS-Proxy,6.66,USD,554433221100
aws,2026-02-03,EC2,ap-southeast-1,BoxUsage:c6i.2xlarge,79.43,USD,998877665544
aws,2026-02-03,Redshift,ap-southeast-1,NodeUsage:ra3.xlplus,1154.45,USD,887766554433
aws,2026-02-04,ECS,eu-central-1,Fargate-vCPU-Hours,94.55,USD,554433221100
aws,2026-02-04,CloudFront,eu-west-1,DataTransfer-Out-Bytes,118.06,USD,554433221100
aws,2026-02-04,RDS,us-east-1,InstanceUsage:db.m6g.xlarge,1177.15,USD,998877665544
aws,2026-02-04,S3,ap-southeast-1,Requests-Tier1,47.31,USD,998877665544
aws,2026-02-04,DynamoDB,us-west-2,ReadCapacityUnits,109.15,USD,998877665544
aws,2026-02-04,EKS,us-east-1,EKS-Cluster-Hours,760.24,USD,887766554433
aws,2026-02-04,DynamoDB,us-east-1,TimedStorage-ByteHrs,105.81,USD,554433221100
aws,2026-02-04,S3,us-west-2,DeepArchiveStorage,4.99,USD,998877665544
aws,2026-02-04,RDS,eu-central-1,InstanceUsage:db.m6g.xlarge,193.57,USD,554433221100
aws,2026-02-04,ElastiCache,eu-central-1,NodeUsage:cache.m6g.large,371.77,USD,998877665544
aws,2026-02-04,DynamoDB,ap-south-1,ReadCapacityUnits,80.57,USD,998877665544
aws,2026-02-04,S3,us-east-1,DataTransfer-Out-Bytes,35.1,USD,554433221100
aws,2026-02-04,S3,sa-east-1,Requests-Tier1,23.39,USD,554433221100
aws,2026-02-04,CloudFront,eu-central-1,Invalidations,53.03,USD,998877665544
aws,2026-02-04,EKS,eu-west-1,EKS-Cluster-Hours,670.24,USD,998877665544
aws,2026-02-05,CloudFront,eu-west-1,DataTransfer-Out-Bytes,63.28,USD,998877665544
aws,2026-02-05,DynamoDB,eu-central-1,WriteCapacityUnits,96.11,USD,998877665544
aws,2026-02-05,Lambda,us-west-2,Lambda-GB-Second,77.09,USD,998877665544
aws,2026-02-05,CloudFront,us-east-1,Invalidations,59.04,USD,998877665544
aws,2026-02-05,ECS,eu-west-1,Fargate-GB-Hours,136.11,USD,887766554433
aws,2026-02-05,ElastiCache,sa-east-1,NodeUsage:cache.m6g.large,201.98,USD,887766554433
aws,2026-02-05,OpenSearch,us-east-1,DomainUsage:or1.medium,432.09,USD,998877665544
aws,2026-02-05,Kinesis,us-west-2,ShardHour,118.72,USD,887766554433
aws,2026-02-06,S3,ap-south-1,DeepArchiveStorage,125.27,USD,998877665544
aws,2026-02-06,EKS,eu-west-1,EKS-Cluster-Hours,51.34,USD,998877665544
aws,2026-02-06,EKS,ap-south-1,Fargate-vCPU-Hours,324.26,USD,998877665544
aws,2026-02-06,S3,eu-west-1,DeepArchiveStorage,14.9,USD,887766554433
aws,2026-02-06,ElastiCache,ap-southeast-1,NodeUsage:cache.m6g.large,302.24,USD,887766554433
aws,2026-02-06,ECS,ap-southeast-1,Fargate-GB-Hours,58.13,USD,887766554433
aws,2026-02-06,DynamoDB,us-east-1,TimedStorage-ByteHrs,85.77,USD,554433221100
aws,2026-02-06,DynamoDB,eu-central-1,WriteCapacityUnits,17.5,USD,554433221100
aws,2026-02-06,Redshift,eu-central-1,NodeUsage:ra3.xlplus,1152.03,USD,998877665544
aws,2026-02-06,Lambda,us-west-2,Lambda-GB-Second,100.01,USD,554433221100
aws,2026-02-06,ElastiCache,sa-east-1,NodeUsage:cache.r6g.large,418.09,USD,887766554433
aws,2026-02-06,EC2,eu-central-1,EBS:VolumeUsage.gp3,719.41,USD,554433221100
aws,2026-02-06,DynamoDB,us-west-2,TimedStorage-ByteHrs,97.68,USD,887766554433
aws,2026-02-07,EC2,ap-southeast-1,DataTransfer-Out-Bytes,535.12,USD,554433221100
aws,2026-02-07,OpenSearch,eu-west-1,DomainUsage:or1.medium,294.28,USD,554433221100
aws,2026-02-07,CloudFront,eu-central-1,Invalidations,114.76,USD,887766554433
aws,2026-02-07,Redshift,ap-southeast-1,Storage-ByteHrs,1113.92,USD,554433221100
aws,2026-02-07,Lambda,us-east-1,RequestCount,72.1,USD,554433221100
aws,2026-02-07,OpenSearch,ap-southeast-1,DomainUsage:or1.medium,1585.3,USD,998877665544
aws,2026-02-07,S3,ap-south-1,DeepArchiveStorage,110.36,USD,998877665544
aws,2026-02-07,EC2,us-east-1,EBS:VolumeUsage.gp3,158.02,USD,554433221100
aws,2026-02-07,EKS,us-west-2,EKS-Cluster-Hours,472.78,USD,554433221100
aws,2026-02-07,EKS,us-east-1,Fargate-vCPU-Hours,679.54,USD,998877665544
aws,2026-02-07,ElastiCache,ap-southeast-1,NodeUsage:cache.r6g.large,459.88,USD,887766554433
aws,2026-02-07,ECS,eu-central-1,Fargate-vCPU-Hours,87.25,USD,998877665544
aws,2026-02-07,EC2,us-west-2,BoxUsage:t4g.xlarge,613.66,USD,887766554433
aws,2026-02-07,EKS,eu-central-1,EKS-Cluster-Hours,719.36,USD,887766554433
aws,2026-02-08,S3,sa-east-1,DeepArchiveStorage,119.9,USD,887766554433
aws,2026-02-08,EKS,ap-south-1,EKS-Cluster-Hours,402.9,USD,554433221100
aws,2026-02-08,ElastiCache,eu-central-1,NodeUsage:cache.r6g.large,81.85,USD,998877665544
aws,2026-02-08,ElastiCache,ap-southeast-1,NodeUsage:cache.m6g.large,351.92,USD,887766554433
aws,2026-02-08,Kinesis,us-west-2,PUT-Payload-Units,13.99,USD,998877665544
aws,2026-02-08,ECS,us-west-2,Fargate-vCPU-Hours,122.34,USD,998877665544
aws,2026-02-08,OpenSearch,ap-south-1,Storage-GP3-ByteHrs,626.0,USD,887766554433
aws,2026-02-09,RDS,us-west-2,RDS:Multi-AZ-Storage,114.65,USD,887766554433
aws,2026-02-09,Redshift,ap-south-1,Storage-ByteHrs,959.31,USD,554433221100
aws,2026-02-09,OpenSearch,eu-central-1,Storage-GP3-ByteHrs,36.2,USD,554433221100
aws,2026-02-09,EKS,ap-southeast-1,EKS-Cluster-Hours,190.09,USD,887766554433
aws,2026-02-09,CloudFront,us-east-1,DataTransfer-Out-Bytes,85.6,USD,998877665544
aws,2026-02-09,CloudFront,eu-west-1,Requests-HTTPS-Proxy,82.83,USD,998877665544
aws,2026-02-09,S3,us-west-2,DeepArchiveStorage,3.65,USD,887766554433
aws,2026-02-09,ECS,us-east-1,Fargate-vCPU-Hours,8.06,USD,887766554433
aws,2026-02-09,DynamoDB,ap-south-1,TimedStorage-ByteHrs,120.11,USD,554433221100
aws,2026-02-09,ECS,sa-east-1,Fargate-vCPU-Hours,131.75,USD,887766554433
aws,2026-02-09,Kinesis,ap-south-1,ShardHour,74.25,USD,554433221100
aws,2026-02-09,OpenSearch,us-west-2,Storage-GP3-ByteHrs,840.17,USD,554433221100
aws,2026-02-09,CloudFront,us-east-1,Invalidations,66.78,USD,998877665544
aws,2026-02-10,Kinesis,eu-central-1,ShardHour,67.4,USD,887766554433
aws,2026-02-10,Lambda,ap-south-1,ProvisionedConcurrency,78.82,USD,998877665544
aws,2026-02-10,CloudFront,eu-central-1,DataTransfer-Out-Bytes,5.26,USD,887766554433
aws,2026-02-10,OpenSearch,ap-south-1,Storage-GP3-ByteHrs,73.08,USD,887766554433
aws,2026-02-10,ElastiCache,eu-west-1,NodeUsage:cache.r6g.large,125.78,USD,887766554433
aws,2026-02-10,CloudFront,us-west-2,Requests-HTTPS-Proxy,67.66,USD,887766554433
aws,2026-02-10,RDS,eu-central-1,RDS:Multi-AZ-Storage,622.75,USD,887766554433
aws,2026-02-10,OpenSearch,us-west-2,DomainUsage:or1.medium,597.08,USD,554433221100
aws,2026-02-10,ElastiCache,us-east-1,NodeUsage:cache.r6g.large,55.82,USD,998877665544
aws,2026-02-10,EC2,us-east-1,BoxUsage:r6g.xlarge,603.84,USD,998877665544
aws,2026-02-10,S3,sa-east-1,DeepArchiveStorage,72.42,USD,887766554433
aws,2026-02-11,OpenSearch,ap-southeast-1,DomainUsage:or1.medium,1486.24,USD,887766554433
aws,2026-02-11,Kinesis,eu-west-1,ShardHour,3.14,USD,887766554433
aws,2026-02-11,EKS,ap-south-1,EKS-Cluster-Hours,607.15,USD,887766554433
aws,2026-02-11,EC2,us-west-2,BoxUsage:c6i.2xlarge,427.73,USD,887766554433
aws,2026-02-11,Lambda,ap-south-1,Lambda-GB-Second,24.94,USD,887766554433
aws,2026-02-11,Lambda,us-west-2,Lambda-GB-Second,79.44,USD,887766554433
aws,2026-02-11,Lambda,ap-south-1,RequestCount,73.91,USD,554433221100
aws,2026-02-11,DynamoDB,eu-central-1,OnDemandIO-Read,88.15,USD,998877665544
aws,2026-02-11,EC2,ap-south-1,BoxUsage:r6g.xlarge,325.82,USD,554433221100
aws,2026-02-11,S3,us-west-2,TimedStorage-ByteHrs,64.44,USD,998877665544
aws,2026-02-11,Lambda,eu-west-1,ProvisionedConcurrency,122.15,USD,554433221100
aws,2026-02-11,Redshift,eu-west-1,Storage-ByteHrs,1323.51,USD,887766554433
aws,2026-02-11,ElastiCache,ap-south-1,NodeUsage:cache.m6g.large,37.53,USD,554433221100
aws,2026-02-11,S3,ap-south-1,TimedStorage-ByteHrs,11.1,USD,554433221100
aws,2026-02-11,DynamoDB,ap-south-1,OnDemandIO-Read,75.47,USD,887766554433
aws,2026-02-11,Lambda,sa-east-1,Lambda-GB-Second,23.69,USD,887766554433
aws,2026-02-12,EKS,eu-west-1,Fargate-vCPU-Hours,11.96,USD,887766554433
aws,2026-02-12,DynamoDB,sa-east-1,OnDemandIO-Read,97.41,USD,554433221100
aws,2026-02-12,Kinesis,us-west-2,PUT-Payload-Units,112.87,USD,887766554433
aws,2026-02-12,ElastiCache,us-east-1,NodeUsage:cache.r6g.large,766.29,USD,998877665544
aws,2026-02-12,DynamoDB,us-east-1,OnDemandIO-Read,134.9,USD,887766554433
aws,2026-02-12,DynamoDB,sa-east-1,ReadCapacityUnits,57.19,USD,887766554433
aws,2026-02-12,ECS,ap-south-1,Fargate-vCPU-Hours,97.82,USD,998877665544
aws,2026-02-12,ElastiCache,sa-east-1,NodeUsage:cache.m6g.large,613.07,USD,554433221100
aws,2026-02-12,OpenSearch,ap-south-1,Storage-GP3-ByteHrs,1264.14,USD,998877665544
aws,2026-02-12,Redshift,us-west-2,NodeUsage:ra3.xlplus,310.4,USD,554433221100
aws,2026-02-12,ECS,ap-south-1,Fargate-vCPU-Hours,109.16,USD,998877665544
aws,2026-02-12,OpenSearch,us-east-1,Storage-GP3-ByteHrs,1193.34,USD,887766554433
aws,2026-02-13,ElastiCache,sa-east-1,NodeUsage:cache.r6g.large,556.85,USD,554433221100
aws,2026-02-13,DynamoDB,us-east-1,WriteCapacityUnits,132.98,USD,887766554433
aws,2026-02-13,RDS,eu-west-1,RDS:PIOPS-Storage,752.43,USD,554433221100
aws,2026-02-13,DynamoDB,ap-southeast-1,OnDemandIO-Read,67.24,USD,887766554433
aws,2026-02-13,S3,us-west-2,Requests-Tier1,107.97,USD,887766554433
aws,2026-02-13,CloudFront,sa-east-1,DataTransfer-Out-Bytes,15.72,USD,998877665544
aws,2026-02-13,S3,eu-central-1,DeepArchiveStorage,123.49,USD,998877665544
aws,2026-02-13,Redshift,eu-central-1,Storage-ByteHrs,1286.88,USD,554433221100
aws,2026-02-13,Lambda,ap-south-1,Lambda-GB-Second,26.84,USD,998877665544
aws,2026-02-13,OpenSearch,sa-east-1,DomainUsage:or1.medium,1533.26,USD,887766554433
aws,2026-02-13,DynamoDB,us-west-2,OnDemandIO-Read,5.6,USD,887766554433
aws,2026-02-13,OpenSearch,ap-south-1,Storage-GP3-ByteHrs,980.21,USD,998877665544
aws,2026-02-14,EC2,ap-southeast-1,BoxUsage:t4g.xlarge,600.76,USD,554433221100
aws,2026-02-14,CloudFront,us-east-1,Requests-HTTPS-Proxy,106.37,USD,998877665544
aws,2026-02-14,DynamoDB,ap-southeast-1,TimedStorage-ByteHrs,116.85,USD,887766554433
aws,2026-02-14,DynamoDB,us-west-2,TimedStorage-ByteHrs,54.42,USD,554433221100
aws,2026-02-14,Lambda,us-west-2,Lambda-GB-Second,109.21,USD,998877665544
aws,2026-02-14,EC2,us-west-2,BoxUsage:r6g.xlarge,175.93,USD,998877665544
aws,2026-02-14,ElastiCache,us-east-1,NodeUsage:cache.m6g.large,423.55,USD,554433221100
aws,2026-02-14,ECS,eu-west-1,Fargate-vCPU-Hours,72.35,USD,998877665544
aws,2026-02-14,Lambda,ap-south-1,Lambda-GB-Second,93.11,USD,887766554433
aws,2026-02-14,Redshift,eu-west-1,NodeUsage:ra3.xlplus,1109.58,USD,998877665544
aws,2026-02-14,ECS,ap-south-1,Fargate-GB-Hours,45.62,USD,998877665544
aws,2026-02-15,ElastiCache,eu-west-1,NodeUsage:cache.r6g.large,305.44,USD,554433221100
aws,2026-02-15,S3,sa-east-1,TimedStorage-ByteHrs,128.43,USD,998877665544
aws,2026-02-15,Kinesis,ap-southeast-1,PUT-Payload-Units,37.96,USD,998877665544
aws,2026-02-15,ECS,sa-east-1,Fargate-vCPU-Hours,127.12,USD,887766554433
aws,2026-02-15,S3,ap-southeast-1,Requests-Tier1,101.35,USD,887766554433
aws,2026-02-15,Redshift,eu-central-1,Storage-ByteHrs,1348.99,USD,887766554433
aws,2026-02-15,ECS,ap-southeast-1,Fargate-GB-Hours,108.72,USD,887766554433
aws,2026-02-16,Lambda,eu-west-1,Lambda-GB-Second,54.58,USD,887766554433
aws,2026-02-16,ECS,ap-southeast-1,Fargate-GB-Hours,66.45,USD,887766554433
aws,2026-02-16,Lambda,sa-east-1,Lambda-GB-Second,4.78,USD,554433221100
aws,2026-02-16,ElastiCache,eu-central-1,NodeUsage:cache.m6g.large,695.35,USD,887766554433
aws,2026-02-16,OpenSearch,eu-central-1,DomainUsage:or1.medium,1143.88,USD,554433221100
aws,2026-02-16,CloudFront,ap-southeast-1,DataTransfer-Out-Bytes,109.61,USD,998877665544
aws,2026-02-17,CloudFront,eu-central-1,DataTransfer-Out-Bytes,107.21,USD,554433221100
aws,2026-02-17,S3,eu-central-1,Requests-Tier1,18.99,USD,998877665544
aws,2026-02-17,RDS,eu-west-1,RDS:Multi-AZ-Storage,1038.22,USD,554433221100
aws,2026-02-17,EC2,sa-east-1,BoxUsage:t4g.xlarge,93.11,USD,998877665544
aws,2026-02-17,Lambda,eu-central-1,Lambda-GB-Second,84.99,USD,554433221100
aws,2026-02-17,ElastiCache,eu-central-1,NodeUsage:cache.m6g.large,17.55,USD,998877665544
aws,2026-02-17,EC2,ap-southeast-1,BoxUsage:t4g.xlarge,627.13,USD,998877665544
aws,2026-02-17,ElastiCache,us-east-1,NodeUsage:cache.r6g.large,471.76,USD,998877665544
aws,2026-02-17,Redshift,us-east-1,NodeUsage:ra3.xlplus,662.67,USD,887766554433
aws,2026-02-17,Kinesis,eu-central-1,ShardHour,96.18,USD,998877665544
aws,2026-02-17,DynamoDB,eu-west-1,WriteCapacityUnits,49.58,USD,887766554433
aws,2026-02-17,EC2,ap-south-1,EBS:VolumeUsage.gp3,160.17,USD,887766554433
aws,2026-02-17,RDS,us-west-2,RDS:Multi-AZ-Storage,1373.77,USD,998877665544
aws,2026-02-17,CloudFront,sa-east-1,DataTransfer-Out-Bytes,2.69,USD,554433221100
aws,2026-02-18,ECS,ap-southeast-1,Fargate-GB-Hours,44.16,USD,998877665544
aws,2026-02-18,Lambda,ap-south-1,ProvisionedConcurrency,6.61,USD,554433221100
aws,2026-02-18,ECS,eu-west-1,Fargate-GB-Hours,109.47,USD,998877665544
aws,2026-02-18,Kinesis,us-west-2,ShardHour,5.06,USD,998877665544
aws,2026-02-18,Kinesis,us-east-1,ShardHour,50.78,USD,887766554433
aws,2026-02-18,DynamoDB,ap-southeast-1,OnDemandIO-Read,9.59,USD,554433221100
aws,2026-02-18,ECS,sa-east-1,Fargate-vCPU-Hours,86.45,USD,998877665544
aws,2026-02-19,EC2,sa-east-1,BoxUsage:r6g.xlarge,280.83,USD,998877665544
aws,2026-02-19,ECS,eu-west-1,Fargate-GB-Hours,16.63,USD,998877665544
aws,2026-02-19,Redshift,ap-southeast-1,NodeUsage:ra3.xlplus,1591.49,USD,998877665544
aws,2026-02-19,Redshift,sa-east-1,Storage-ByteHrs,251.82,USD,887766554433
aws,2026-02-19,OpenSearch,ap-south-1,Storage-GP3-ByteHrs,1583.81,USD,887766554433
aws,2026-02-19,S3,ap-south-1,DataTransfer-Out-Bytes,55.58,USD,998877665544
aws,2026-02-19,RDS,eu-west-1,RDS:Multi-AZ-Storage,1570.06,USD,998877665544
aws,2026-02-19,Redshift,eu-west-1,Storage-ByteHrs,1518.84,USD,887766554433
aws,2026-02-19,OpenSearch,sa-east-1,Storage-GP3-ByteHrs,1006.79,USD,554433221100
aws,2026-02-19,Kinesis,sa-east-1,ShardHour,131.01,USD,998877665544
aws,2026-02-19,Redshift,sa-east-1,Storage-ByteHrs,463.3,USD,998877665544
aws,2026-02-19,ElastiCache,us-west-2,NodeUsage:cache.r6g.large,337.32,USD,887766554433
aws,2026-02-19,EKS,eu-west-1,Fargate-vCPU-Hours,501.85,USD,998877665544
aws,2026-02-19,Kinesis,us-west-2,ShardHour,137.8,USD,554433221100
aws,2026-02-19,EC2,sa-east-1,BoxUsage:t4g.xlarge,179.29,USD,998877665544
aws,2026-02-19,ECS,us-west-2,Fargate-vCPU-Hours,29.63,USD,554433221100
aws,2026-02-19,CloudFront,eu-west-1,Requests-HTTPS-Proxy,79.32,USD,998877665544
aws,2026-02-20,ECS,ap-south-1,Fargate-vCPU-Hours,107.61,USD,998877665544
aws,2026-02-20,Lambda,us-west-2,Lambda-GB-Second,51.52,USD,998877665544
aws,2026-02-20,CloudFront,eu-central-1,DataTransfer-Out-Bytes,51.51,USD,887766554433
aws,2026-02-20,Lambda,eu-west-1,Lambda-GB-Second,138.28,USD,998877665544
aws,2026-02-20,OpenSearch,us-east-1,DomainUsage:or1.medium,204.83,USD,554433221100
aws,2026-02-20,Lambda,eu-west-1,Lambda-GB-Second,69.85,USD,887766554433
aws,2026-02-20,ElastiCache,us-east-1,NodeUsage:cache.m6g.large,141.81,USD,554433221100
aws,2026-02-20,EKS,sa-east-1,EKS-Cluster-Hours,649.82,USD,554433221100
aws,2026-02-20,Redshift,us-west-2,Storage-ByteHrs,723.28,USD,554433221100
