provider,date,service,region,usageType,cost,currency,accountId
azure,2026-06-01,Virtual Machines,eastus,Standard-VM,114.39,USD,776655443322
azure,2026-06-01,Blob Storage,westus2,StandardUsage,15.01,USD,776655443322
azure,2026-06-01,Azure SQL,eastus,StandardUsage,26.36,USD,776655443322
azure,2026-06-01,App Service,westeurope,StandardUsage,33.67,USD,776655443322
azure,2026-06-02,Virtual Machines,eastus,Standard-VM,131.44,USD,776655443322
azure,2026-06-02,Blob Storage,westus2,StandardUsage,13.64,USD,776655443322
azure,2026-06-02,Azure SQL,eastus,StandardUsage,22.89,USD,776655443322
azure,2026-06-02,App Service,westeurope,StandardUsage,41.89,USD,776655443322
azure,2026-06-03,Virtual Machines,westus2,Standard-VM,96.84,USD,776655443322
azure,2026-06-03,Blob Storage,westeurope,StandardUsage,29.3,USD,776655443322
azure,2026-06-03,Azure SQL,eastus,StandardUsage,22.47,USD,776655443322
azure,2026-06-03,App Service,eastus,StandardUsage,42.3,USD,776655443322
azure,2026-06-04,Virtual Machines,westeurope,Standard-VM,105.79,USD,776655443322
azure,2026-06-04,Blob Storage,westus2,StandardUsage,30.07,USD,776655443322
azure,2026-06-04,Azure SQL,westeurope,StandardUsage,35.93,USD,776655443322
azure,2026-06-04,App Service,westus2,StandardUsage,24.55,USD,776655443322
azure,2026-06-05,Virtual Machines,eastus,Standard-VM,108.21,USD,776655443322
azure,2026-06-05,Blob Storage,westus2,StandardUsage,38.38,USD,776655443322
azure,2026-06-05,Azure SQL,westus2,StandardUsage,29.39,USD,776655443322
azure,2026-06-05,App Service,westeurope,StandardUsage,22.92,USD,776655443322
azure,2026-06-06,Virtual Machines,westus2,Standard-VM,126.09,USD,776655443322
azure,2026-06-06,Blob Storage,westus2,StandardUsage,16.13,USD,776655443322
azure,2026-06-06,Azure SQL,westus2,StandardUsage,12.96,USD,776655443322
azure,2026-06-06,App Service,eastus,StandardUsage,13.71,USD,776655443322
azure,2026-06-07,Virtual Machines,eastus,Standard-VM,81.4,USD,776655443322
azure,2026-06-07,Blob Storage,westus2,StandardUsage,14.32,USD,776655443322
azure,2026-06-07,Azure SQL,westus2,StandardUsage,31.7,USD,776655443322
azure,2026-06-07,App Service,eastus,StandardUsage,15.9,USD,776655443322
azure,2026-06-08,Virtual Machines,eastus,Standard-VM,128.52,USD,776655443322
azure,2026-06-08,Blob Storage,eastus,StandardUsage,27.53,USD,776655443322
azure,2026-06-08,Azure SQL,westus2,StandardUsage,33.69,USD,776655443322
azure,2026-06-08,App Service,eastus,StandardUsage,16.58,USD,776655443322
azure,2026-06-09,Virtual Machines,westeurope,Standard-VM,88.33,USD,776655443322
azure,2026-06-09,Blob Storage,eastus,StandardUsage,27.68,USD,776655443322
azure,2026-06-09,Azure SQL,westus2,StandardUsage,30.6,USD,776655443322
azure,2026-06-09,App Service,eastus,StandardUsage,19.76,USD,776655443322
azure,2026-06-10,Virtual Machines,westeurope,Standard-VM,97.29,USD,776655443322
azure,2026-06-10,Blob Storage,westeurope,StandardUsage,12.58,USD,776655443322
azure,2026-06-10,Azure SQL,westus2,StandardUsage,31.92,USD,776655443322
azure,2026-06-10,App Service,westeurope,StandardUsage,26.23,USD,776655443322
azure,2026-06-11,Virtual Machines,eastus,Standard-VM,120.23,USD,776655443322
azure,2026-06-11,Blob Storage,eastus,StandardUsage,35.66,USD,776655443322
azure,2026-06-11,Azure SQL,eastus,StandardUsage,13.49,USD,776655443322
azure,2026-06-11,App Service,westeurope,StandardUsage,17.42,USD,776655443322
azure,2026-06-12,Virtual Machines,westeurope,Standard-VM,80.73,USD,776655443322
azure,2026-06-12,Blob Storage,eastus,StandardUsage,36.6,USD,776655443322
azure,2026-06-12,Azure SQL,eastus,StandardUsage,36.7,USD,776655443322
azure,2026-06-12,App Service,eastus,StandardUsage,15.79,USD,776655443322
azure,2026-06-13,Virtual Machines,westus2,Standard-VM,103.47,USD,776655443322
