provider,date,service,region,usageType,cost,currency,accountId
azure,2026-06-01,Virtual Machines,us-east-1,ComputeUsage,41.14,USD,112233445566
gcp,2026-06-01,GKE,westeurope,DatabaseUnits,100.05,USD,112233445566
gcp,2026-06-01,Cloud Storage,eu-west-1,NetworkEgress,21.14,USD,112233445566
aws,2026-06-01,S3,us-central1,DataStorage,18.69,USD,554433221100
azure,2026-06-01,Cosmos DB,eastus,ComputeUsage,27.04,USD,554433221100
aws,2026-06-01,Lambda,us-east-1,DatabaseUnits,93.2,USD,112233445566
azure,2026-06-01,Virtual Machines,westeurope,NetworkEgress,46.65,USD,112233445566
aws,2026-06-02,ECS,us-central1,NetworkEgress,19.6,USD,112233445566
gcp,2026-06-02,BigQuery,us-east-1,DatabaseUnits,56.53,USD,112233445566
gcp,2026-06-02,Cloud Storage,us-east-1,NetworkEgress,72.33,USD,998877665544
gcp,2026-06-02,Compute Engine,eu-west-1,NetworkEgress,108.62,USD,112233445566
azure,2026-06-02,Azure SQL,eastus,ComputeUsage,81.44,USD,554433221100
aws,2026-06-02,EC2,us-central1,APIRequest,47.55,USD,998877665544
gcp,2026-06-02,Compute Engine,us-west-2,DatabaseUnits,99.45,USD,112233445566
azure,2026-06-03,Blob Storage,us-east-1,DatabaseUnits,39.79,USD,554433221100
gcp,2026-06-03,GKE,eastus,ComputeUsage,26.88,USD,554433221100
azure,2026-06-03,AKS,us-west-2,APIRequest,86.27,USD,554433221100
aws,2026-06-03,Lambda,us-west-2,DatabaseUnits,116.39,USD,554433221100
aws,2026-06-03,EC2,us-central1,APIRequest,43.2,USD,554433221100
azure,2026-06-03,Cosmos DB,us-central1,APIRequest,109.03,USD,554433221100
azure,2026-06-03,Blob Storage,eastus,APIRequest,54.74,USD,998877665544
gcp,2026-06-04,Cloud Storage,us-east-1,NetworkEgress,104.46,USD,112233445566
azure,2026-06-04,Virtual Machines,westeurope,APIRequest,83.67,USD,112233445566
gcp,2026-06-04,GKE,us-central1,NetworkEgress,87.93,USD,554433221100
azure,2026-06-04,Cosmos DB,westeurope,ComputeUsage,113.26,USD,554433221100
aws,2026-06-04,EC2,eastus,NetworkEgress,17.18,USD,554433221100
aws,2026-06-05,ECS,us-west-2,NetworkEgress,46.72,USD,554433221100
gcp,2026-06-05,GKE,us-central1,DataStorage,69.41,USD,998877665544
aws,2026-06-05,ECS,us-central1,DatabaseUnits,84.43,USD,998877665544
aws,2026-06-05,Lambda,us-east-1,DataStorage,119.7,USD,112233445566
azure,2026-06-05,Azure SQL,eu-west-1,NetworkEgress,58.72,USD,554433221100
azure,2026-06-05,Azure SQL,eu-west-1,DatabaseUnits,16.49,USD,554433221100
gcp,2026-06-05,BigQuery,westeurope,DatabaseUnits,51.19,USD,112233445566
aws,2026-06-05,DynamoDB,us-east-1,DataStorage,57.82,USD,998877665544
aws,2026-06-06,S3,eastus,DataStorage,79.36,USD,112233445566
gcp,2026-06-06,Cloud SQL,eastus,DatabaseUnits,57.66,USD,554433221100
gcp,2026-06-06,GKE,us-east-1,DataStorage,102.23,USD,112233445566
azure,2026-06-06,Blob Storage,eastus,DataStorage,109.39,USD,998877665544
gcp,2026-06-06,GKE,us-east-1,NetworkEgress,44.57,USD,112233445566
gcp,2026-06-07,Compute Engine,us-east-1,DataStorage,115.3,USD,998877665544
azure,2026-06-07,Cosmos DB,eu-west-1,DatabaseUnits,75.67,USD,554433221100
aws,2026-06-07,EC2,us-west-2,NetworkEgress,23.34,USD,554433221100
azure,2026-06-07,AKS,us-central1,APIRequest,90.92,USD,554433221100
aws,2026-06-07,DynamoDB,us-east-1,DatabaseUnits,98.46,USD,554433221100
azure,2026-06-08,AKS,eastus,DatabaseUnits,59.08,USD,998877665544
azure,2026-06-08,Virtual Machines,us-east-1,DatabaseUnits,96.31,USD,112233445566
azure,2026-06-08,Blob Storage,us-east-1,DatabaseUnits,52.51,USD,112233445566
gcp,2026-06-08,BigQuery,us-west-2,ComputeUsage,68.8,USD,998877665544
azure,2026-06-08,Azure SQL,eu-west-1,NetworkEgress,67.69,USD,112233445566
gcp,2026-06-09,GKE,eu-west-1,APIRequest,79.04,USD,554433221100
aws,2026-06-09,ECS,westeurope,ComputeUsage,29.89,USD,112233445566
aws,2026-06-09,ECS,westeurope,DataStorage,88.68,USD,554433221100
azure,2026-06-09,AKS,eastus,DataStorage,107.26,USD,998877665544
azure,2026-06-09,AKS,us-east-1,DataStorage,114.74,USD,112233445566
aws,2026-06-09,S3,us-central1,DataStorage,98.51,USD,998877665544
azure,2026-06-09,AKS,us-east-1,ComputeUsage,32.46,USD,554433221100
azure,2026-06-09,Blob Storage,us-west-2,DatabaseUnits,75.69,USD,998877665544
aws,2026-06-10,EC2,us-central1,ComputeUsage,57.31,USD,112233445566
azure,2026-06-10,Cosmos DB,westeurope,DataStorage,83.68,USD,112233445566
azure,2026-06-10,AKS,us-west-2,DatabaseUnits,101.84,USD,112233445566
azure,2026-06-10,Cosmos DB,eastus,NetworkEgress,115.05,USD,112233445566
aws,2026-06-10,DynamoDB,us-central1,NetworkEgress,65.59,USD,112233445566
gcp,2026-06-11,BigQuery,us-central1,ComputeUsage,117.25,USD,112233445566
azure,2026-06-11,Virtual Machines,eu-west-1,APIRequest,107.41,USD,998877665544
aws,2026-06-11,S3,eu-west-1,ComputeUsage,71.1,USD,112233445566
aws,2026-06-11,EC2,us-central1,ComputeUsage,60.56,USD,998877665544
azure,2026-06-11,Blob Storage,eu-west-1,ComputeUsage,39.25,USD,554433221100
gcp,2026-06-11,Cloud Storage,us-west-2,DataStorage,75.93,USD,998877665544
gcp,2026-06-11,Compute Engine,eastus,DatabaseUnits,66.14,USD,554433221100
gcp,2026-06-11,BigQuery,us-east-1,ComputeUsage,27.69,USD,554433221100
aws,2026-06-12,ECS,us-west-2,DataStorage,79.37,USD,998877665544
gcp,2026-06-12,Cloud SQL,eu-west-1,NetworkEgress,112.46,USD,112233445566
azure,2026-06-12,AKS,eastus,ComputeUsage,106.8,USD,998877665544
aws,2026-06-12,DynamoDB,us-west-2,ComputeUsage,49.91,USD,554433221100
azure,2026-06-12,Virtual Machines,us-east-1,ComputeUsage,53.36,USD,554433221100
gcp,2026-06-12,GKE,us-central1,DatabaseUnits,115.42,USD,554433221100
aws,2026-06-12,S3,eastus,APIRequest,117.33,USD,554433221100
gcp,2026-06-13,GKE,eu-west-1,DataStorage,33.54,USD,554433221100
gcp,2026-06-13,Cloud SQL,eu-west-1,DatabaseUnits,108.86,USD,998877665544
azure,2026-06-13,Blob Storage,us-west-2,DatabaseUnits,56.83,USD,112233445566
azure,2026-06-13,AKS,eu-west-1,DatabaseUnits,76.05,USD,554433221100
gcp,2026-06-13,BigQuery,us-west-2,NetworkEgress,113.16,USD,998877665544
azure,2026-06-13,Virtual Machines,westeurope,NetworkEgress,97.91,USD,554433221100
azure,2026-06-13,Azure SQL,us-east-1,NetworkEgress,111.75,USD,554433221100
gcp,2026-06-14,Cloud SQL,eu-west-1,DatabaseUnits,44.61,USD,112233445566
gcp,2026-06-14,BigQuery,us-central1,ComputeUsage,89.86,USD,554433221100
azure,2026-06-14,AKS,us-central1,APIRequest,91.55,USD,112233445566
aws,2026-06-14,EC2,eu-west-1,NetworkEgress,90.5,USD,112233445566
azure,2026-06-14,Virtual Machines,eastus,DatabaseUnits,43.53,USD,998877665544
azure,2026-06-14,Blob Storage,us-central1,APIRequest,69.52,USD,998877665544
aws,2026-06-15,DynamoDB,us-east-1,DataStorage,81.79,USD,554433221100
aws,2026-06-15,Lambda,eastus,NetworkEgress,100.37,USD,998877665544
gcp,2026-06-15,Compute Engine,us-west-2,DatabaseUnits,62.14,USD,112233445566
aws,2026-06-15,S3,eu-west-1,DatabaseUnits,54.31,USD,998877665544
aws,2026-06-15,DynamoDB,eu-west-1,DatabaseUnits,72.4,USD,554433221100
aws,2026-06-16,Lambda,westeurope,DataStorage,39.97,USD,998877665544
aws,2026-06-16,ECS,us-central1,APIRequest,65.98,USD,112233445566
azure,2026-06-16,Cosmos DB,westeurope,NetworkEgress,75.7,USD,998877665544
azure,2026-06-16,AKS,eu-west-1,DatabaseUnits,54.21,USD,998877665544
aws,2026-06-16,DynamoDB,eu-west-1,NetworkEgress,28.9,USD,112233445566
azure,2026-06-16,AKS,us-east-1,DataStorage,67.84,USD,112233445566
gcp,2026-06-16,BigQuery,us-central1,DatabaseUnits,63.0,USD,554433221100
azure,2026-06-17,AKS,us-east-1,DatabaseUnits,98.05,USD,554433221100
gcp,2026-06-17,Cloud Storage,us-east-1,ComputeUsage,37.86,USD,998877665544
aws,2026-06-17,Lambda,us-west-2,NetworkEgress,76.8,USD,554433221100
aws,2026-06-17,EC2,us-east-1,ComputeUsage,17.27,USD,112233445566
aws,2026-06-17,EC2,us-west-2,ComputeUsage,33.0,USD,554433221100
gcp,2026-06-18,Compute Engine,us-west-2,DatabaseUnits,72.73,USD,112233445566
azure,2026-06-18,Cosmos DB,us-central1,DataStorage,56.69,USD,112233445566
gcp,2026-06-18,GKE,us-east-1,ComputeUsage,49.43,USD,998877665544
aws,2026-06-18,S3,westeurope,DataStorage,19.22,USD,112233445566
azure,2026-06-18,Azure SQL,eastus,NetworkEgress,75.69,USD,554433221100
gcp,2026-06-18,Compute Engine,us-central1,ComputeUsage,40.57,USD,554433221100
azure,2026-06-18,Virtual Machines,us-central1,ComputeUsage,67.99,USD,554433221100
azure,2026-06-19,Azure SQL,us-west-2,APIRequest,116.53,USD,998877665544
aws,2026-06-19,ECS,us-east-1,DataStorage,97.14,USD,998877665544
azure,2026-06-19,AKS,eastus,DatabaseUnits,52.08,USD,998877665544
aws,2026-06-19,EC2,us-west-2,NetworkEgress,75.55,USD,554433221100
aws,2026-06-19,DynamoDB,us-east-1,DataStorage,82.99,USD,554433221100
aws,2026-06-20,ECS,eastus,DataStorage,79.08,USD,112233445566
azure,2026-06-20,Azure SQL,westeurope,DatabaseUnits,53.89,USD,112233445566
aws,2026-06-20,S3,eu-west-1,DataStorage,24.7,USD,554433221100
gcp,2026-06-20,Cloud SQL,us-central1,DataStorage,19.89,USD,112233445566
azure,2026-06-20,Virtual Machines,us-east-1,DataStorage,96.51,USD,112233445566
aws,2026-06-21,S3,us-central1,ComputeUsage,94.06,USD,112233445566
azure,2026-06-21,AKS,us-east-1,DatabaseUnits,53.56,USD,112233445566
aws,2026-06-21,Lambda,us-east-1,DataStorage,15.43,USD,112233445566
aws,2026-06-21,DynamoDB,us-central1,DatabaseUnits,32.19,USD,112233445566
azure,2026-06-21,Blob Storage,eu-west-1,APIRequest,82.93,USD,998877665544
azure,2026-06-21,Azure SQL,us-central1,DatabaseUnits,65.84,USD,554433221100
azure,2026-06-21,Cosmos DB,eu-west-1,DataStorage,58.08,USD,112233445566
gcp,2026-06-22,BigQuery,eastus,NetworkEgress,16.3,USD,998877665544
gcp,2026-06-22,Cloud Storage,us-central1,DataStorage,38.51,USD,112233445566
aws,2026-06-22,EC2,us-central1,APIRequest,34.41,USD,998877665544
azure,2026-06-22,Cosmos DB,us-central1,DataStorage,51.0,USD,554433221100
azure,2026-06-22,Azure SQL,us-central1,APIRequest,19.6,USD,998877665544
azure,2026-06-22,Azure SQL,us-central1,APIRequest,86.84,USD,998877665544
gcp,2026-06-22,Cloud SQL,us-west-2,DataStorage,43.51,USD,998877665544
aws,2026-06-23,ECS,eu-west-1,APIRequest,24.12,USD,554433221100
azure,2026-06-23,Blob Storage,us-east-1,DataStorage,43.51,USD,554433221100
azure,2026-06-23,Cosmos DB,us-east-1,DataStorage,89.68,USD,554433221100
gcp,2026-06-23,BigQuery,us-central1,ComputeUsage,107.21,USD,554433221100
azure,2026-06-23,AKS,westeurope,NetworkEgress,102.26,USD,998877665544
azure,2026-06-23,Blob Storage,westeurope,DatabaseUnits,101.89,USD,998877665544
